"object_name","source_accession","source_url","series_matrix_url","original_publication","pmid","doi","upstream_processing_date","upstream_table","upstream_sha256","upstream_md5","original_n","package_n","included_variables","excluded_variables","clock_method","clock_software_version","coefficient_source","feature_coverage","missing_cpg_policy","processing_script","notes"
"gse40279_equa","GSE40279","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40279","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40279/matrix/GSE40279_series_matrix.txt.gz","Hannum et al. (2013), Genome-wide methylation profiles reveal quantitative views of human aging rates",23177740,"10.1016/j.molcel.2012.10.016","2026-07-01","03_analysis_ready/data/GSE40279/base_clock_table.csv","0aa46d15bcdd8ef7cb2de644298e9736bb21d2accdc1337a8c7db56bcb3cf175","cc9b746f43176aede437619a20eb0526",656,656,"sample_id; chronological_age; estimated_age","original_id; sex; site; plate; ethnicity; beta matrix; other clock scores","Horvath v1 multi-tissue DNAm age; linear coefficient score followed by anti.trafo","methylclockData 1.14.0 coefficient export; local scorer matching methylclock::anti.trafo","Horvath (2013), PMID 24138928, DOI 10.1186/gb-2013-14-10-r115","353/353 model CpGs available (100%)","Complete model-CpG coverage; no imputation","data-raw/generate_geo_example_data.R","Package data are compact derived EQuA inputs, not original-publication clock estimates and not raw methylation data."
"gse50660_equa","GSE50660","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50660","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50660/matrix/GSE50660_series_matrix.txt.gz","Tsaprouni et al. (2014), Cigarette smoking reduces DNA methylation levels at multiple genomic loci but the effect is partially reversible upon cessation",25424692,"10.4161/15592294.2014.969637","2026-07-01","03_analysis_ready/data/GSE50660/base_clock_table.csv","4689d047720c7ad4f843edf2c516f60baa027e4dde6170f11bd2ce6d1dd36c72","5adf18afcc3a6166d258b44ba31454fa",464,464,"sample_id; chronological_age; estimated_age","original_id; sex; smoking status; beta matrix; other clock scores","Horvath v1 multi-tissue DNAm age; available-CpG linear coefficient score followed by anti.trafo","methylclockData 1.14.0 coefficient export; local scorer matching methylclock::anti.trafo","Horvath (2013), PMID 24138928, DOI 10.1186/gb-2013-14-10-r115","351/353 model CpGs available (99.43%)","Available model CpGs only; no cohort-mean or KNN imputation","data-raw/generate_geo_example_data.R","Package data are compact derived EQuA inputs, not original-publication clock estimates and not raw methylation data."
